generation,target,strategy,outcome,rc,advantage,veto_reason
1,ml-systems/vllm-distributed-groups.md,concretize,vetoed,RC3,1.1531133203941102,"Net-zero violation: note is 325 lines (>300), edit would grow it to 369 lines (tolerance: +9)"
1,ml-systems/vllm-distributed-groups.md,densify,identity_won,RC4,-0.5241424183609592,
1,ml-systems/vllm-distributed-groups.md,motivate,identity_won,RC4,0.7337993857053429,
2,ml-systems/pytorch-module-hooks.md,restructure,identity_won,RC4,0.5384615384615384,
2,ml-systems/pytorch-module-hooks.md,scope_tighten,identity_won,RC4,-1.3076923076923077,
3,ml-systems/vllm-weight-loading.md,simplify_code,invalid,RC1,0.0,no output
3,ml-systems/vllm-weight-loading.md,consolidate,invalid,RC1,0.0,retry failed: Edit 0 on ml-systems/pt-moe-vllm-implementation.md: search text matches 2 locations (must be unique)
3,ml-systems/vllm-weight-loading.md,dedup,identity_won,RC4,-1.0,
4,ml-systems/prefix-caching.md,rewrite,vetoed,RC3,1.182165609358651,Line limit exceeded: 518 > 450
4,ml-systems/prefix-caching.md,systematize,identity_won,RC4,-0.5516772843673704,
4,ml-systems/prefix-caching.md,clarify,identity_won,RC4,0.7092993656151906,
5,ml-systems/vllm-cg-investigation-findings.md,concretize,invalid,RC1,0.0,no output
5,ml-systems/vllm-cg-investigation-findings.md,densify,invalid,RC1,0.0,retry failed (no output after: Edit 11 on ml-systems/vllm-cg-investigation-findings.md: search text not found. First 80 chars: '## Q11: NCCL vs SHM Channel Type for PP\n\n| Channel Type | PP Tensor Path | Perfo')
6,ml-systems/kv-cache-internals.md,restructure,invalid,RC1,0.0,no output
6,ml-systems/kv-cache-internals.md,simplify_code,identity_won,RC4,0.3922322702763681,
6,ml-systems/kv-cache-internals.md,scope_tighten,identity_won,RC4,-1.3728129459672884,
7,ml-systems/parallelism-strategies.md,dedup,identity_won,RC4,0.5896096038723766,
7,ml-systems/parallelism-strategies.md,consolidate,identity_won,RC4,-1.3757557423688787,
8,ml-systems/fused-moe-vllm-implementation.md,systematize,identity_won,RC4,0.6546536707079771,
8,ml-systems/fused-moe-vllm-implementation.md,rewrite,identity_won,RC4,-1.5275252316519465,
9,distributed-systems/chandy-lamport.md,densify,identity_won,RC4,-1.310556084991557,
9,distributed-systems/chandy-lamport.md,motivate,identity_won,RC4,-0.26211121699831136,
10,ml-systems/pt-moe-architecture.md,concretize,vetoed,RC3,1.0945409092309881,"Net-zero violation: note is 303 lines (>300), edit would grow it to 362 lines (tolerance: +9)"
10,ml-systems/pt-moe-architecture.md,clarify,identity_won,RC4,0.8955334711889903,
10,ml-systems/pt-moe-architecture.md,densify,identity_won,RC4,-0.8955334711889903,
11,data-processing/morsel-driven-parallelism.md,simplify_code,invalid,RC1,0.0,retry failed (no output after: Edit 0 on data-processing/morsel-driven-parallelism.md: search and replace are identical (no-op))
11,data-processing/morsel-driven-parallelism.md,restructure,vetoed,RC2,1.2247448713915892,"Missing required sections: need either [## TL;DR + ## See Also] or [## Core Intuition + ## Connections] or [## Role in System + ## Related Concepts]; Bullet/list loss: items dropped from 7 to 3 (>30% loss); Inline definition(s) removed — constitution requires 'no jargon without inline definition at first use': **Morsel size trade-off** (DuckDB default = **122,880 rows** (~120K). Too small → dispa...); **Work stealing vs. morsel leasing** (Morsel-driven is *pull-based* — idle thread asks a central d...); **Pipeline boundaries are synchronization barriers** (A pipeline breaker (hash build, sort, aggregate) forces all ...); **DuckDB in practice** (DuckDB splits each table scan into morsels against a global ...); **Daft in practice** (Each morsel is a Ray task (Ray = Python distributed task fra...); **vs. Spark** (Spark assigns one task per partition *statically* at job sub...)"
11,data-processing/morsel-driven-parallelism.md,scope_tighten,identity_won,RC4,-1.2247448713915892,
12,ml-systems/vllm-distributed-groups.md,systematize,identity_won,RC4,0.5980503604017327,
12,ml-systems/vllm-distributed-groups.md,rewrite,identity_won,RC4,-1.2815364865751413,
13,ml-systems/pytorch-module-hooks.md,consolidate,invalid,RC1,0.0,"retry failed: Edit 0 on ml-systems/vllm-torch-compile-integration.md: search text not found. First 80 chars: '2. **""Why does the decorator go on the inner model, not the outer ForCausalLM?""*'"
13,ml-systems/pytorch-module-hooks.md,motivate,identity_won,RC4,-0.4629100498862757,
14,ml-systems/vllm-weight-loading.md,clarify,identity_won,RC4,0.0873704056661038,
14,ml-systems/vllm-weight-loading.md,densify,identity_won,RC4,-1.310556084991557,
15,ml-systems/prefix-caching.md,motivate,identity_won,RC4,-0.2773500981126146,
15,ml-systems/prefix-caching.md,concretize,identity_won,RC4,-1.386750490563073,
16,ml-systems/vllm-cg-investigation-findings.md,restructure,invalid,RC1,0.0,retry failed: Edit 0 on ml-systems/vllm-cg-investigation-findings.md: search text not found. First 80 chars: '## Core Intuition\n\n**The problem CG was meant to solve**: every decode step with'
16,ml-systems/vllm-cg-investigation-findings.md,scope_tighten,identity_won,RC4,-1.2247448713915892,
