commit	note	dimension	before	after	status	description
none	ml-systems/gpu-memory-hierarchy.md	Code Quality	1	4	discarded	regressions: Clarity: 4->3, Knowledge Density: 5->4, Interview Readiness: 5->4, Freshness: 5->4
none	ml-systems/gpu-memory-hierarchy.md	Code Quality	1	4	discarded	regressions: Knowledge Density: 5->4
none	ml-systems/gpu-memory-hierarchy.md	Code Quality	1	1	failed	Claude CLI returned no usable output
none	ml-systems/gpu-memory-hierarchy.md	Code Quality	1	4	discarded	regressions: Knowledge Density: 5->4, Motivation: 5->4, Freshness: 5->4
none	ml-systems/gpu-memory-hierarchy.md	Code Quality	1	4	discarded	regressions: Clarity: 4->3, Knowledge Density: 5->4, Progressive Disclosure: 5->4, Completeness: 4->3, Freshness: 5->4
2c9642a	ml-systems/gpu-memory-hierarchy.md	Code Quality	1	7	kept	autoresearch: improve ml-systems/gpu-memory-hierarchy.md on Code Quality (1->7/10)
ff0f321	distributed-systems/chandy-lamport.md	Concrete Examples	2	7	kept	autoresearch: improve distributed-systems/chandy-lamport.md on Concrete Examples (2->7/10)
489b170	ml-systems/pt-moe-vllm-implementation.md	Interview Readiness	2	9	kept	autoresearch: improve ml-systems/pt-moe-vllm-implementation.md on Interview Readiness (2->9/10)
2e2c92f	ml-systems/mixture-of-experts.md	Uniqueness	2	5	kept	autoresearch: improve ml-systems/mixture-of-experts.md on Uniqueness (2->5/10)
4c58041	ml-systems/parallelism-strategies.md	Interview Readiness	2	3	kept	autoresearch: improve ml-systems/parallelism-strategies.md on Interview Readiness (2->3/10)
none	data-processing/lance-vs-parquet.md	Code Quality	3	3	failed	Edit generation returned no usable output
none	data-processing/lance-vs-parquet.md	Code Quality	3	3	discarded	no improvement (3->3); regressions: Motivation: 7->4
none	ml-systems/prefix-caching.md	Interview Readiness	2	3	discarded	regressions: Motivation: 6->2
none	ml-systems/rotary-position-embedding.md	Interview Readiness	2	2	failed	Edit generation returned no usable output
9da6532	ml-systems/pt-moe-vllm-implementation.md	Interview Readiness	2	4	kept	autoresearch: improve ml-systems/pt-moe-vllm-implementation.md on Interview Readiness (2->4/10)
none	data-processing/lance-vs-parquet.md	Code Quality	3	3	discarded	no improvement (3->3)
263fa6b	ml-systems/rotary-position-embedding.md	Interview Readiness	2	3	kept	autoresearch: improve ml-systems/rotary-position-embedding.md on Interview Readiness (2->3/10)
none	data-processing/morsel-driven-parallelism.md	Code Quality	3	3	discarded	no improvement (3->3); regressions: Motivation: 8->5
none	data-processing/morsel-driven-parallelism.md	Code Quality	3	3	discarded	no improvement (3->3)
none	distributed-systems/chandy-lamport.md	Code Quality	3	3	discarded	no improvement (3->3)
none	distributed-systems/chandy-lamport.md	Code Quality	3	3	discarded	no improvement (3->3)
none	data-processing/lance-vs-parquet.md	Interview Readiness	1	8	discarded	regressions: total regression 5 > 4
none	data-processing/lance-vs-parquet.md	Interview Readiness	1	8	discarded	regressions: total regression 5 > 4
b13c554	data-processing/morsel-driven-parallelism.md	Interview Readiness	1	9	kept	autoresearch: improve data-processing/morsel-driven-parallelism.md on Interview Readiness (1->9/10)
none	distributed-systems/chandy-lamport.md	Interview Readiness	1	9	discarded	regressions: total regression 6 > 4
none	distributed-systems/chandy-lamport.md	Interview Readiness	1	9	discarded	regressions: Conciseness: 8->5, total regression 8 > 4
none	ml-systems/vllm-weight-loading.md	Interview Readiness	1	9	discarded	regressions: total regression 8 > 4
none	ml-systems/vllm-weight-loading.md	Interview Readiness	0	8	discarded	regressions: Progressive Disclosure: 8->5, total regression 10 > 4
none	ml-systems/kv-cache-internals.md	Cross-Linking	3	3	failed	Edit generation returned no usable output
none	ml-systems/kv-cache-internals.md	Cross-Linking	3	4	discarded	regressions: total regression 7 > 4
none	ml-systems/vllm-distributed-groups.md	Motivation	3	8	discarded	regressions: total regression 5 > 4
6b9c866	data-processing/lance-vs-parquet.md	Interview Readiness	1	7	kept	autoresearch: improve data-processing/lance-vs-parquet.md on Interview Readiness (1->7/10)
a30abfc	distributed-systems/chandy-lamport.md	Interview Readiness	1	7	kept	autoresearch: improve distributed-systems/chandy-lamport.md on Interview Readiness (1->7/10)
none	ml-systems/validating-parallelism-at-scale.md	Interview Readiness	1	1	discarded	no improvement (1->1); regressions: Conciseness: 8->5, total regression 6 > 4
9e5ce23	ml-systems/validating-parallelism-at-scale.md	Interview Readiness	1	7	kept	autoresearch: improve ml-systems/validating-parallelism-at-scale.md on Interview Readiness (1->7/10)
none	ml-systems/vllm-weight-loading.md	Interview Readiness	1	1	discarded	no improvement (1->1)
none	ml-systems/kv-cache-internals.md	Cross-Linking	3	3	discarded	no improvement (3->3)
none	data-processing/lance-vs-parquet.md	Code Quality	4	4	discarded	no improvement (4->4)
none	ml-systems/vllm-weight-loading.md	Interview Readiness	1	1	discarded	no improvement (1->1)
none	ml-systems/kv-cache-internals.md	Cross-Linking	3	3	discarded	no improvement (3->3)
none	data-processing/lance-vs-parquet.md	Code Quality	4	4	discarded	no improvement (4->4)
